timestamp,temperature,turbidity,light,status_temperature,status_turbidity,status_overall,actuator_cooler,actuator_filter,actuator_light
2026-04-27T17:33:31Z,23.1,2.06,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:32Z,23.2,3.23,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:33Z,23.2,2.21,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:34Z,20.7,2.89,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:35Z,21.4,3.18,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:36Z,24.0,2.41,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:37Z,23.8,3.22,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:38Z,22.2,3.48,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:39Z,23.8,2.54,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:40Z,22.2,2.5,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:41Z,21.1,3.91,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:42Z,22.8,3.87,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:43Z,23.5,3.44,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:44Z,21.3,2.65,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:45Z,22.4,3.12,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:45Z,23.7,2.46,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:46Z,20.6,3.22,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:47Z,23.1,2.57,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:49Z,20.5,3.01,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:50Z,23.1,3.2,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:51Z,21.3,2.12,0.0,normal,normal,normal,off,off,on
2026-04-27T17:33:52Z,22.6,3.52,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:53Z,20.2,3.59,1.0,normal,normal,normal,off,off,on
2026-04-27T17:33:54Z,22.4,3.77,1.0,normal,normal,normal,off,off,on
